# Map Name|Mode|Add to Maplist|Online rating|Comment
ctf_Dust_pcg|ctf|Yes|4|Карта, которая была раньше очень популярна, а сейчас кажется убрана с сервера <em>CTF 2</em>, либо редко выбирается.
Ctf_Dust_Wireplay|ctf|Yes|4|Разновидность Dust'овых карт, которая редко выбирается (возможно только администраторами). Лично мне она не особо нравится, но онлайн на ней хороший.
ctf_dust2_czz|ctf|Yes|4|Ещё одна модификация Dust'а, чуть увеличенная. Пользуется популярностью и очень часто выбирается, возможно из-за слова "dust2" в названии.
ctf_dust2|ctf|Yes|5|Бессмертная классика с отличным онлайном.
ctf_fiume|ctf|No|4|Кажется, эта карта до сих пор доступна на <em>CTF 1</em>, онлайн у неё неплохой.
ctf_flagrun|ctf|No|3|Большая карта. Раньше онлайн был лучше, сейчас практически никто на ней и не играет. На карте имеются стреляющие в тебя солдаты HECU.
ctf_forge|ctf|No|3|Доступна на <em>CTF 2</em>, популярностью не блещет.
ctf_goodluck|ctf|No|3|Доступна на <em>CTF 2</em>, но особо на ней не играют.
ctf_hell|ctf|Yes|4|Отличная и более-менее популярная карта, онлайн на уровне <em>cbble</em>.
ctf_legacy_b4|ctf|No|3|Большая карта с посредственным онлайном, доступна на <em>CTF 1</em>. Нравится новичкам из-за кучи нычек и возможности кемперить.
ctf_plaka|ctf|Yes|4|Популярная карта с хорошим онлайном.
ctf_storm|ctf|No|3|Раньше эта карта была более-менее популярной, сейчас не особо. Имеется на сервере <em>CTF 1</em>.
ctf_sultan_dust|ctf|No|4|Хорошая карта с сервера <em>CTF 1</em>, на которой раньше онлайн был ещё лучше.
ctf_survivor|ctf|No|2|Эта карта убивает онлайн на <em>CTF 2</em>.
ctf_verso|ctf|Yes|4|Хорошая карта, неплохо пользуется популярностью.
de_railroad|ctf|No|2|Эта карта серьёзно убивает онлайн на <em>CTF 2</em>. Играет 15 человек на каком-нибудь Dust'е, новички выбирают эту карту, онлайн сразу падает до 4-5 игроков. Выходят даже те, кто её выбрал.
dm_assault_x|ctf|Yes|4|Карта, доступная на <em>CTF 2</em>. Нравится как новичками, так и тем кто покрепче.
dm_dust|ctf|Yes|5|Бессмертная классика, наверное самый высокий онлайн именно на этой карте.
doublecross|dm|No|3|Второе поколение карты <em>crossfire</em>, вышло тоже весьма популярным. К сожалению, не помню, имелся ли её CTF-аналог или нет.
dust_ruins|ctf|No|3|На мой взгляд карта не очень. Кажется она доступна только на <em>CTF 1</em>.
falaise|ctf|No|3|Большая карта, которая убивает онлайн на <em>CTF 2</em>. К сожалению часто выбирается по незнанию.
gasworks|dm|No|3|Очень большая карта из стандартного набора Half-Life, которая мне всегда нравилась. К сожалению, она очень редко встречается теперь на серверах, да и онлайн на ней совсем скромный.
hlctf_blue|ctf|No|3|Посредственная карта с таким же онлайном. Но более-менее играбельна.
hldm_aztec|dm|No|5|Очень популярная Deathmatch карта, особенно для тех, кто любит полетать на гауссе и пострелять из него в ботов и новичков. Одна из любимых карт.
hlectf_stalkyard|ctf|No|3|Карта хорошая, но убивает онлайн на сервере <em>CTF 2</em>, потому что слишком большая. А большие группы игроков на ней не задерживаются.
hlk_ultimate_crossfire|dm|No|4|Хорошая карта для Deathmatch со множеством секреток. Новички очень любят эту карту.
killbox_usa|dm|No|5|Одна из самых популярных Deathmatch карт, которые известны всем. Наверное, моя самая любимая карта в HLDM.
killbox|dm|No|4|Вариант <em>killbox</em>'а похуже качеством исполнения и больше размером.
leggo|dm|No|4|Популярная Deathmatch карта, которую любят как новички, так и продвинутые игроки.
lost_village2|dm|No|3|Некогда популярная в чемпионатах по HLDM карта, сейчас не пользуется особой популярностью.
merlin|ctf|No|2|Оказывается, это тоже CTF-карта. Слишком большой размер и сложность её погубили. Если раньше она хоть как-то была популярна, то теперь убивает онлайн на серверах.
mesabase|dm|No|3|Классная открытая Deathmatch карта, когда-то давно была одной из самых любимых.
mistechko|dm|No|3|Эта карта в первую очередь интересна антуражем и дизайном небольшого и уютного украинского (?) городка.
rats|dm|No|4|Карты в <em>Rats</em>-стиле любят новички. Поэтому на них часто очень хороший онлайн.
re_boot|dm|No|4|Ещё одна Deathmatch карта для тех, кому нравится стрелять из гаусса. Аналоги: <em>bootbox</em>, <em>boot3</em>, <em>tau_cannon</em>, куча их.
school|dm|No|3|Ужасная в плане дизайна карта. Тем не менее на ней всё ещё играют.
sparta|dm|No|3|У этой карты интересен дизайн. И ещё эта карта одна из самых излюбленных кемперами, так как в ней имеется возможность забраться в укромное место на скалу и отстреливать игроков на большой открытой территории.
stalkfire|ctf|Yes|5|Одна из самых популярных CTF-карт на нашем сервере. Смесь <em>crossfire</em> и <em>stalkyard</em>, стандартных карт из мультиплеера Half-Life.
stalkx|dm|No|5|Классика AG-арены, одна из самых популярных карт вообще.
streets|dm|No|3|Старая карта, которая никогда мне не нравилась.
the_beach|dm|No|4|Весьма популярная и ставшая поистине классической Deathmatch карта.
toxic_core|dm|No|3|Большая и запутанная карта с возможностью отравить игроков, которые не успели скрыться в укромных местах.
trench_46|dm|No|3|Открытая Deathmatch карта с простым дизайном.
trench_64|ctf|Yes|4|Две вышки на большом расстоянии друг от друга в расщелине каньона. Выглядит атмосферно и играть на ней тоже интересно. Рай для тех, кто любит пострелять из арбалета или полетать на гауссе.
unrest|ctf|No|3|Непримечательная CTF-карта с посредственным онлайном. Размер карты средний.
winterdust2|ctf|Yes|5|Бессмертная классика в зимнем оформлении.
agctf_daydream_beta|ctf|No|2|Большая карта, которая раньше была на наших CTF-серверах. Видимо уже удалена. Играли на ней не очень охотно.
